"","ARREST_DATE","CITY_COUNCIL_DISTRICT","Arrest.Count"
"1",2018-09-03,"01",23
"2",2018-09-03,"02",5
"3",2018-09-03,"03",19
"4",2018-09-03,"04",5
"5",2018-09-03,"05",3
"6",2018-09-03,"06",6
"7",2018-09-03,"07",16
"8",2018-09-03,"08",22
"9",2018-09-03,"09",11
"10",2018-09-03,"10",27
"11",2018-09-03,"11",9
"12",2018-09-03,"12",4
"13",2018-09-03,"13",14
"14",2018-09-03,"14",13
"15",2018-09-03,"15",26
"16",2018-09-03,"16",12
"17",2018-09-03,"17",6
"18",2018-09-03,"18",3
"19",2018-09-03,"19",9
"20",2018-09-03,"21",12
"21",2018-09-03,"22",7
"22",2018-09-03,"23",5
"23",2018-09-03,"24",4
"24",2018-09-03,"25",16
"25",2018-09-03,"26",2
"26",2018-09-03,"27",15
"27",2018-09-03,"28",14
"28",2018-09-03,"29",6
"29",2018-09-03,"30",2
"30",2018-09-03,"31",5
"31",2018-09-03,"32",1
"32",2018-09-03,"33",23
"33",2018-09-03,"34",2
"34",2018-09-03,"35",19
"35",2018-09-03,"36",3
"36",2018-09-03,"37",33
"37",2018-09-03,"38",5
"38",2018-09-03,"39",2
"39",2018-09-03,"40",25
"40",2018-09-03,"41",8
"41",2018-09-03,"42",3
"42",2018-09-03,"43",1
"43",2018-09-03,"44",1
"44",2018-09-03,"45",3
"45",2018-09-03,"46",2
"46",2018-09-03,"47",13
"47",2018-09-03,"48",5
"48",2018-09-03,"49",20
"49",2018-09-03,"50",6
"50",2018-09-04,"01",31
"51",2018-09-04,"02",14
"52",2018-09-04,"03",36
"53",2018-09-04,"04",8
"54",2018-09-04,"05",5
"55",2018-09-04,"06",9
"56",2018-09-04,"07",12
"57",2018-09-04,"08",37
"58",2018-09-04,"09",12
"59",2018-09-04,"10",18
"60",2018-09-04,"11",17
"61",2018-09-04,"12",5
"62",2018-09-04,"13",15
"63",2018-09-04,"14",16
"64",2018-09-04,"15",29
"65",2018-09-04,"16",29
"66",2018-09-04,"17",2
"67",2018-09-04,"18",5
"68",2018-09-04,"19",7
"69",2018-09-04,"20",4
"70",2018-09-04,"21",11
"71",2018-09-04,"22",25
"72",2018-09-04,"23",13
