"","ARREST_DATE","CITY_COUNCIL_DISTRICT","Arrest.Count"
"73",2018-09-04,"24",13
"74",2018-09-04,"25",21
"75",2018-09-04,"26",8
"76",2018-09-04,"27",24
"77",2018-09-04,"28",20
"78",2018-09-04,"29",3
"79",2018-09-04,"30",4
"80",2018-09-04,"31",5
"81",2018-09-04,"32",2
"82",2018-09-04,"33",29
"83",2018-09-04,"34",10
"84",2018-09-04,"35",9
"85",2018-09-04,"36",5
"86",2018-09-04,"37",38
"87",2018-09-04,"38",8
"88",2018-09-04,"39",11
"89",2018-09-04,"40",10
"90",2018-09-04,"41",9
"91",2018-09-04,"42",8
"92",2018-09-04,"43",3
"93",2018-09-04,"44",6
"94",2018-09-04,"45",10
"95",2018-09-04,"46",6
"96",2018-09-04,"47",8
"97",2018-09-04,"48",5
"98",2018-09-04,"49",20
"99",2018-09-04,"50",5
"100",2018-09-05,"01",43
"101",2018-09-05,"02",9
"102",2018-09-05,"03",46
"103",2018-09-05,"04",8
"104",2018-09-05,"05",12
"105",2018-09-05,"06",7
"106",2018-09-05,"07",15
"107",2018-09-05,"08",31
"108",2018-09-05,"09",7
"109",2018-09-05,"10",21
"110",2018-09-05,"11",15
"111",2018-09-05,"12",7
"112",2018-09-05,"13",16
"113",2018-09-05,"14",17
"114",2018-09-05,"15",28
"115",2018-09-05,"16",26
"116",2018-09-05,"17",12
"117",2018-09-05,"18",4
"118",2018-09-05,"19",28
"119",2018-09-05,"20",2
"120",2018-09-05,"21",15
"121",2018-09-05,"22",13
"122",2018-09-05,"23",35
"123",2018-09-05,"24",15
"124",2018-09-05,"25",11
"125",2018-09-05,"26",7
"126",2018-09-05,"27",21
"127",2018-09-05,"28",12
"128",2018-09-05,"29",3
"129",2018-09-05,"30",3
"130",2018-09-05,"31",9
"131",2018-09-05,"32",7
"132",2018-09-05,"33",42
"133",2018-09-05,"34",6
"134",2018-09-05,"35",11
"135",2018-09-05,"36",7
"136",2018-09-05,"37",36
"137",2018-09-05,"38",12
"138",2018-09-05,"39",4
"139",2018-09-05,"40",10
"140",2018-09-05,"41",8
"141",2018-09-05,"42",4
"142",2018-09-05,"44",7
"143",2018-09-05,"45",9
"144",2018-09-05,"46",3
"145",2018-09-05,"47",17
"146",2018-09-05,"48",9
"147",2018-09-05,"49",17
"148",2018-09-05,"50",13
"149",2018-09-06,"01",44
"150",2018-09-06,"02",14
"151",2018-09-06,"03",36
"152",2018-09-06,"04",5
"153",2018-09-06,"05",12
"154",2018-09-06,"06",11
"155",2018-09-06,"07",5
"156",2018-09-06,"08",45
"157",2018-09-06,"09",22
"158",2018-09-06,"10",33
"159",2018-09-06,"11",15
"160",2018-09-06,"12",7
"161",2018-09-06,"13",9
"162",2018-09-06,"14",25
"163",2018-09-06,"15",21
"164",2018-09-06,"16",33
"165",2018-09-06,"17",10
"166",2018-09-06,"18",9
"167",2018-09-06,"19",8
"168",2018-09-06,"20",3
"169",2018-09-06,"21",2
"170",2018-09-06,"22",7
"171",2018-09-06,"23",22
"172",2018-09-06,"24",12
"173",2018-09-06,"25",16
"174",2018-09-06,"26",5
"175",2018-09-06,"27",25
"176",2018-09-06,"28",26
"177",2018-09-06,"29",5
"178",2018-09-06,"30",4
"179",2018-09-06,"31",6
"180",2018-09-06,"32",8
"181",2018-09-06,"33",49
"182",2018-09-06,"34",3
"183",2018-09-06,"35",9
"184",2018-09-06,"36",2
"185",2018-09-06,"37",41
"186",2018-09-06,"38",12
"187",2018-09-06,"39",9
"188",2018-09-06,"40",25
"189",2018-09-06,"41",13
"190",2018-09-06,"42",2
"191",2018-09-06,"43",3
"192",2018-09-06,"44",8
"193",2018-09-06,"45",10
"194",2018-09-06,"46",16
"195",2018-09-06,"47",11
"196",2018-09-06,"48",11
"197",2018-09-06,"49",13
"198",2018-09-06,"50",4
"199",2018-09-07,"01",54
"200",2018-09-07,"02",26
"201",2018-09-07,"03",43
"202",2018-09-07,"04",3
"203",2018-09-07,"05",11
"204",2018-09-07,"06",11
"205",2018-09-07,"07",13
"206",2018-09-07,"08",44
"207",2018-09-07,"09",15
"208",2018-09-07,"10",20
"209",2018-09-07,"11",25
"210",2018-09-07,"12",3
"211",2018-09-07,"13",16
"212",2018-09-07,"14",10
"213",2018-09-07,"15",23
"214",2018-09-07,"16",28
"215",2018-09-07,"17",10
"216",2018-09-07,"18",11
"217",2018-09-07,"19",15
"218",2018-09-07,"20",2
"219",2018-09-07,"21",12
"220",2018-09-07,"22",16
"221",2018-09-07,"23",23
"222",2018-09-07,"24",10
"223",2018-09-07,"25",13
"224",2018-09-07,"26",6
"225",2018-09-07,"27",29
"226",2018-09-07,"28",24
"227",2018-09-07,"29",1
"228",2018-09-07,"30",4
"229",2018-09-07,"31",7
"230",2018-09-07,"32",4
"231",2018-09-07,"33",33
"232",2018-09-07,"34",8
"233",2018-09-07,"35",21
"234",2018-09-07,"36",7
"235",2018-09-07,"37",30
"236",2018-09-07,"38",18
"237",2018-09-07,"39",8
"238",2018-09-07,"40",9
"239",2018-09-07,"41",6
"240",2018-09-07,"42",11
"241",2018-09-07,"43",3
"242",2018-09-07,"44",8
"243",2018-09-07,"45",2
"244",2018-09-07,"46",3
"245",2018-09-07,"47",13
"246",2018-09-07,"48",11
"247",2018-09-07,"49",17
"248",2018-09-07,"50",4
"249",2018-09-08,"01",21
"250",2018-09-08,"02",8
"251",2018-09-08,"03",35
"252",2018-09-08,"04",4
"253",2018-09-08,"05",8
"254",2018-09-08,"06",8
"255",2018-09-08,"07",8
"256",2018-09-08,"08",28
"257",2018-09-08,"09",18
"258",2018-09-08,"10",18
"259",2018-09-08,"11",17
"260",2018-09-08,"12",7
"261",2018-09-08,"13",20
"262",2018-09-08,"14",10
"263",2018-09-08,"15",23
"264",2018-09-08,"16",23
"265",2018-09-08,"17",9
"266",2018-09-08,"18",4
"267",2018-09-08,"19",4
"268",2018-09-08,"20",1
"269",2018-09-08,"21",9
"270",2018-09-08,"22",7
"271",2018-09-08,"23",12
"272",2018-09-08,"24",7
"273",2018-09-08,"25",22
"274",2018-09-08,"26",1
"275",2018-09-08,"27",12
"276",2018-09-08,"28",10
"277",2018-09-08,"30",2
"278",2018-09-08,"31",6
"279",2018-09-08,"32",4
"280",2018-09-08,"33",29
"281",2018-09-08,"34",3
"282",2018-09-08,"35",6
"283",2018-09-08,"36",1
"284",2018-09-08,"37",36
"285",2018-09-08,"38",9
"286",2018-09-08,"39",9
"287",2018-09-08,"40",10
"288",2018-09-08,"41",7
"289",2018-09-08,"42",1
"290",2018-09-08,"43",3
"291",2018-09-08,"44",4
"292",2018-09-08,"45",4
"293",2018-09-08,"46",4
"294",2018-09-08,"47",11
"295",2018-09-08,"48",11
"296",2018-09-08,"49",16
"297",2018-09-08,"50",5
"298",2018-09-09,"01",20
"299",2018-09-09,"02",6
"300",2018-09-09,"03",16
"301",2018-09-09,"04",4
"302",2018-09-09,"05",5
"303",2018-09-09,"06",5
"304",2018-09-09,"07",10
"305",2018-09-09,"08",24
"306",2018-09-09,"09",7
"307",2018-09-09,"10",19
"308",2018-09-09,"11",9
"309",2018-09-09,"12",2
"310",2018-09-09,"13",22
"311",2018-09-09,"14",12
"312",2018-09-09,"15",21
"313",2018-09-09,"16",9
"314",2018-09-09,"17",5
"315",2018-09-09,"18",6
"316",2018-09-09,"19",5
"317",2018-09-09,"20",2
"318",2018-09-09,"21",7
"319",2018-09-09,"22",7
"320",2018-09-09,"23",13
"321",2018-09-09,"24",8
"322",2018-09-09,"25",6
"323",2018-09-09,"26",3
"324",2018-09-09,"27",11
"325",2018-09-09,"28",8
"326",2018-09-09,"29",6
"327",2018-09-09,"30",4
"328",2018-09-09,"31",5
"329",2018-09-09,"32",3
"330",2018-09-09,"33",21
"331",2018-09-09,"34",1
"332",2018-09-09,"35",5
"333",2018-09-09,"36",1
"334",2018-09-09,"37",22
"335",2018-09-09,"38",9
"336",2018-09-09,"39",4
"337",2018-09-09,"40",8
"338",2018-09-09,"41",4
"339",2018-09-09,"42",4
"340",2018-09-09,"43",1
"341",2018-09-09,"44",2
"342",2018-09-09,"45",2
"343",2018-09-09,"46",4
"344",2018-09-09,"47",3
"345",2018-09-09,"48",2
"346",2018-09-09,"49",11
"347",2018-09-09,"50",5
"348",2018-09-10,"01",20
"349",2018-09-10,"02",6
"350",2018-09-10,"03",33
"351",2018-09-10,"04",3
"352",2018-09-10,"05",3
"353",2018-09-10,"06",12
"354",2018-09-10,"07",12
"355",2018-09-10,"08",23
"356",2018-09-10,"09",14
"357",2018-09-10,"10",29
"358",2018-09-10,"11",14
"359",2018-09-10,"12",4
"360",2018-09-10,"13",9
"361",2018-09-10,"14",22
"362",2018-09-10,"15",14
"363",2018-09-10,"16",15
"364",2018-09-10,"17",10
"365",2018-09-10,"18",5
"366",2018-09-10,"19",6
"367",2018-09-10,"20",2
"368",2018-09-10,"21",7
"369",2018-09-10,"22",11
"370",2018-09-10,"23",16
"371",2018-09-10,"24",11
"372",2018-09-10,"25",8
"373",2018-09-10,"26",7
"374",2018-09-10,"27",14
"375",2018-09-10,"28",12
"376",2018-09-10,"29",5
"377",2018-09-10,"30",5
"378",2018-09-10,"31",2
"379",2018-09-10,"32",4
"380",2018-09-10,"33",44
"381",2018-09-10,"34",2
"382",2018-09-10,"35",3
"383",2018-09-10,"36",5
"384",2018-09-10,"37",28
"385",2018-09-10,"38",2
"386",2018-09-10,"39",6
"387",2018-09-10,"40",6
"388",2018-09-10,"41",8
"389",2018-09-10,"42",4
"390",2018-09-10,"43",8
"391",2018-09-10,"44",5
"392",2018-09-10,"45",7
"393",2018-09-10,"46",4
"394",2018-09-10,"47",3
"395",2018-09-10,"48",3
"396",2018-09-10,"49",13
"397",2018-09-10,"50",2
"398",2018-09-11,"01",36
"399",2018-09-11,"02",16
"400",2018-09-11,"03",30
"401",2018-09-11,"04",4
"402",2018-09-11,"05",9
"403",2018-09-11,"06",15
"404",2018-09-11,"07",26
"405",2018-09-11,"08",53
"406",2018-09-11,"09",12
"407",2018-09-11,"10",32
"408",2018-09-11,"11",10
"409",2018-09-11,"12",10
"410",2018-09-11,"13",12
"411",2018-09-11,"14",12
"412",2018-09-11,"15",21
"413",2018-09-11,"16",20
"414",2018-09-11,"17",8
"415",2018-09-11,"18",7
"416",2018-09-11,"19",15
"417",2018-09-11,"20",2
"418",2018-09-11,"21",7
"419",2018-09-11,"22",3
"420",2018-09-11,"23",19
"421",2018-09-11,"24",9
"422",2018-09-11,"25",10
"423",2018-09-11,"26",7
"424",2018-09-11,"27",18
"425",2018-09-11,"28",18
"426",2018-09-11,"29",10
"427",2018-09-11,"31",16
"428",2018-09-11,"32",8
"429",2018-09-11,"33",39
"430",2018-09-11,"34",13
"431",2018-09-11,"35",4
"432",2018-09-11,"36",3
"433",2018-09-11,"37",28
"434",2018-09-11,"38",10
"435",2018-09-11,"39",5
"436",2018-09-11,"40",18
"437",2018-09-11,"41",7
"438",2018-09-11,"42",5
"439",2018-09-11,"43",9
"440",2018-09-11,"44",13
"441",2018-09-11,"45",7
"442",2018-09-11,"46",7
"443",2018-09-11,"47",10
"444",2018-09-11,"48",16
"445",2018-09-11,"49",15
"446",2018-09-11,"50",5
"447",2018-09-12,"01",59
"448",2018-09-12,"02",16
"449",2018-09-12,"03",54
"450",2018-09-12,"04",8
"451",2018-09-12,"05",13
"452",2018-09-12,"06",11
"453",2018-09-12,"07",15
"454",2018-09-12,"08",39
"455",2018-09-12,"09",18
"456",2018-09-12,"10",26
"457",2018-09-12,"11",12
"458",2018-09-12,"12",7
"459",2018-09-12,"13",13
"460",2018-09-12,"14",11
"461",2018-09-12,"15",26
"462",2018-09-12,"16",26
"463",2018-09-12,"17",21
"464",2018-09-12,"18",8
"465",2018-09-12,"19",18
"466",2018-09-12,"20",4
"467",2018-09-12,"21",11
"468",2018-09-12,"22",14
"469",2018-09-12,"23",31
"470",2018-09-12,"24",13
"471",2018-09-12,"25",17
"472",2018-09-12,"26",2
"473",2018-09-12,"27",33
"474",2018-09-12,"28",34
"475",2018-09-12,"29",4
"476",2018-09-12,"30",4
"477",2018-09-12,"31",4
"478",2018-09-12,"32",17
"479",2018-09-12,"33",29
"480",2018-09-12,"34",10
"481",2018-09-12,"35",10
"482",2018-09-12,"36",4
"483",2018-09-12,"37",22
"484",2018-09-12,"38",5
"485",2018-09-12,"39",13
"486",2018-09-12,"40",16
"487",2018-09-12,"41",8
"488",2018-09-12,"42",6
"489",2018-09-12,"43",7
"490",2018-09-12,"44",5
"491",2018-09-12,"45",6
"492",2018-09-12,"46",3
"493",2018-09-12,"47",29
"494",2018-09-12,"48",6
"495",2018-09-12,"49",34
"496",2018-09-12,"50",6
"497",2018-09-13,"01",45
"498",2018-09-13,"02",11
"499",2018-09-13,"03",46
"500",2018-09-13,"04",5
"501",2018-09-13,"05",13
"502",2018-09-13,"06",8
"503",2018-09-13,"07",6
"504",2018-09-13,"08",45
"505",2018-09-13,"09",16
"506",2018-09-13,"10",25
"507",2018-09-13,"11",12
"508",2018-09-13,"12",12
"509",2018-09-13,"13",13
"510",2018-09-13,"14",14
"511",2018-09-13,"15",25
"512",2018-09-13,"16",36
"513",2018-09-13,"17",12
"514",2018-09-13,"18",6
"515",2018-09-13,"19",11
"516",2018-09-13,"20",2
"517",2018-09-13,"21",12
"518",2018-09-13,"22",7
"519",2018-09-13,"23",19
"520",2018-09-13,"24",12
"521",2018-09-13,"25",6
"522",2018-09-13,"26",3
"523",2018-09-13,"27",18
"524",2018-09-13,"28",24
"525",2018-09-13,"29",6
"526",2018-09-13,"30",5
"527",2018-09-13,"31",10
"528",2018-09-13,"32",4
"529",2018-09-13,"33",46
"530",2018-09-13,"34",4
"531",2018-09-13,"35",5
"532",2018-09-13,"36",8
"533",2018-09-13,"37",41
"534",2018-09-13,"38",6
"535",2018-09-13,"39",7
"536",2018-09-13,"40",22
"537",2018-09-13,"41",10
"538",2018-09-13,"42",10
"539",2018-09-13,"43",4
"540",2018-09-13,"44",5
"541",2018-09-13,"45",7
"542",2018-09-13,"46",6
"543",2018-09-13,"47",15
"544",2018-09-13,"48",11
"545",2018-09-13,"49",13
"546",2018-09-13,"50",8
"547",2018-09-14,"01",30
"548",2018-09-14,"02",11
"549",2018-09-14,"03",32
"550",2018-09-14,"04",9
"551",2018-09-14,"05",11
"552",2018-09-14,"06",14
"553",2018-09-14,"07",25
"554",2018-09-14,"08",41
"555",2018-09-14,"09",18
"556",2018-09-14,"10",29
"557",2018-09-14,"11",11
"558",2018-09-14,"12",5
"559",2018-09-14,"13",8
"560",2018-09-14,"14",19
"561",2018-09-14,"15",14
"562",2018-09-14,"16",20
"563",2018-09-14,"17",13
"564",2018-09-14,"18",5
"565",2018-09-14,"19",12
"566",2018-09-14,"20",3
"567",2018-09-14,"21",15
"568",2018-09-14,"22",18
"569",2018-09-14,"23",15
"570",2018-09-14,"24",14
"571",2018-09-14,"25",20
"572",2018-09-14,"26",10
"573",2018-09-14,"27",19
"574",2018-09-14,"28",26
"575",2018-09-14,"29",4
"576",2018-09-14,"30",4
"577",2018-09-14,"31",8
"578",2018-09-14,"32",3
"579",2018-09-14,"33",47
"580",2018-09-14,"34",11
"581",2018-09-14,"35",6
"582",2018-09-14,"36",9
"583",2018-09-14,"37",32
"584",2018-09-14,"38",16
"585",2018-09-14,"39",10
"586",2018-09-14,"40",5
"587",2018-09-14,"41",9
"588",2018-09-14,"42",3
"589",2018-09-14,"43",9
"590",2018-09-14,"44",2
"591",2018-09-14,"45",9
"592",2018-09-14,"46",8
"593",2018-09-14,"47",9
"594",2018-09-14,"48",7
"595",2018-09-14,"49",24
"596",2018-09-14,"50",4
"597",2018-09-15,"01",27
"598",2018-09-15,"02",5
"599",2018-09-15,"03",34
"600",2018-09-15,"04",5
"601",2018-09-15,"05",18
"602",2018-09-15,"06",10
"603",2018-09-15,"07",8
"604",2018-09-15,"08",29
"605",2018-09-15,"09",9
"606",2018-09-15,"10",26
"607",2018-09-15,"11",11
"608",2018-09-15,"12",10
"609",2018-09-15,"13",16
"610",2018-09-15,"14",19
"611",2018-09-15,"15",24
"612",2018-09-15,"16",8
"613",2018-09-15,"17",11
"614",2018-09-15,"18",10
"615",2018-09-15,"19",8
"616",2018-09-15,"21",8
"617",2018-09-15,"22",9
"618",2018-09-15,"23",3
"619",2018-09-15,"24",9
"620",2018-09-15,"25",12
"621",2018-09-15,"26",10
"622",2018-09-15,"27",10
"623",2018-09-15,"28",13
"624",2018-09-15,"29",2
"625",2018-09-15,"30",2
"626",2018-09-15,"31",7
"627",2018-09-15,"32",3
"628",2018-09-15,"33",25
"629",2018-09-15,"34",12
"630",2018-09-15,"35",2
"631",2018-09-15,"36",14
"632",2018-09-15,"37",46
"633",2018-09-15,"38",9
"634",2018-09-15,"39",12
"635",2018-09-15,"40",10
"636",2018-09-15,"41",7
"637",2018-09-15,"42",7
"638",2018-09-15,"43",5
"639",2018-09-15,"44",2
"640",2018-09-15,"45",3
"641",2018-09-15,"46",1
"642",2018-09-15,"47",10
"643",2018-09-15,"48",7
"644",2018-09-15,"49",17
"645",2018-09-15,"50",5
"646",2018-09-16,"01",22
"647",2018-09-16,"02",7
"648",2018-09-16,"03",22
"649",2018-09-16,"04",6
"650",2018-09-16,"05",6
"651",2018-09-16,"06",4
"652",2018-09-16,"07",8
"653",2018-09-16,"08",19
"654",2018-09-16,"09",12
"655",2018-09-16,"10",25
"656",2018-09-16,"11",11
"657",2018-09-16,"12",6
"658",2018-09-16,"13",9
"659",2018-09-16,"14",15
"660",2018-09-16,"15",12
"661",2018-09-16,"16",13
"662",2018-09-16,"17",4
"663",2018-09-16,"18",5
"664",2018-09-16,"19",16
"665",2018-09-16,"21",11
"666",2018-09-16,"22",9
"667",2018-09-16,"23",8
"668",2018-09-16,"24",5
"669",2018-09-16,"25",10
"670",2018-09-16,"26",5
"671",2018-09-16,"27",10
"672",2018-09-16,"28",13
"673",2018-09-16,"29",3
"674",2018-09-16,"30",7
"675",2018-09-16,"31",6
"676",2018-09-16,"32",2
"677",2018-09-16,"33",21
"678",2018-09-16,"34",1
"679",2018-09-16,"35",8
"680",2018-09-16,"36",2
"681",2018-09-16,"37",20
"682",2018-09-16,"38",12
"683",2018-09-16,"39",6
"684",2018-09-16,"40",7
"685",2018-09-16,"41",10
"686",2018-09-16,"42",5
"687",2018-09-16,"43",5
"688",2018-09-16,"44",5
"689",2018-09-16,"45",6
"690",2018-09-16,"46",4
"691",2018-09-16,"47",8
"692",2018-09-16,"48",4
"693",2018-09-16,"49",15
"694",2018-09-16,"50",2
"695",2018-09-17,"01",40
"696",2018-09-17,"02",10
"697",2018-09-17,"03",32
"698",2018-09-17,"04",5
"699",2018-09-17,"05",5
"700",2018-09-17,"06",14
"701",2018-09-17,"07",24
"702",2018-09-17,"08",33
"703",2018-09-17,"09",10
"704",2018-09-17,"10",25
"705",2018-09-17,"11",12
"706",2018-09-17,"12",10
"707",2018-09-17,"13",16
"708",2018-09-17,"14",12
"709",2018-09-17,"15",28
"710",2018-09-17,"16",23
"711",2018-09-17,"17",8
"712",2018-09-17,"18",5
"713",2018-09-17,"19",11
"714",2018-09-17,"20",1
"715",2018-09-17,"21",5
"716",2018-09-17,"22",3
"717",2018-09-17,"23",10
"718",2018-09-17,"24",11
"719",2018-09-17,"25",15
"720",2018-09-17,"26",4
"721",2018-09-17,"27",5
"722",2018-09-17,"28",24
"723",2018-09-17,"29",7
"724",2018-09-17,"30",1
"725",2018-09-17,"31",8
"726",2018-09-17,"32",5
"727",2018-09-17,"33",41
"728",2018-09-17,"34",13
"729",2018-09-17,"35",9
"730",2018-09-17,"36",3
"731",2018-09-17,"37",37
"732",2018-09-17,"38",6
"733",2018-09-17,"39",12
"734",2018-09-17,"40",10
"735",2018-09-17,"41",5
"736",2018-09-17,"42",5
"737",2018-09-17,"43",3
"738",2018-09-17,"44",5
"739",2018-09-17,"45",6
"740",2018-09-17,"46",9
"741",2018-09-17,"47",8
"742",2018-09-17,"48",5
"743",2018-09-17,"49",19
"744",2018-09-17,"50",4
"745",2018-09-18,"01",54
"746",2018-09-18,"02",11
"747",2018-09-18,"03",45
"748",2018-09-18,"04",5
"749",2018-09-18,"05",8
"750",2018-09-18,"06",9
"751",2018-09-18,"07",12
"752",2018-09-18,"08",34
"753",2018-09-18,"09",16
"754",2018-09-18,"10",32
"755",2018-09-18,"11",19
"756",2018-09-18,"12",12
"757",2018-09-18,"13",10
"758",2018-09-18,"14",10
"759",2018-09-18,"15",24
"760",2018-09-18,"16",23
"761",2018-09-18,"17",9
"762",2018-09-18,"18",7
"763",2018-09-18,"19",11
"764",2018-09-18,"20",4
"765",2018-09-18,"21",10
"766",2018-09-18,"22",17
"767",2018-09-18,"23",10
"768",2018-09-18,"24",19
"769",2018-09-18,"25",9
"770",2018-09-18,"26",9
"771",2018-09-18,"27",58
"772",2018-09-18,"28",17
"773",2018-09-18,"29",3
"774",2018-09-18,"30",5
"775",2018-09-18,"31",7
"776",2018-09-18,"33",71
"777",2018-09-18,"34",9
"778",2018-09-18,"35",10
"779",2018-09-18,"36",10
"780",2018-09-18,"37",29
"781",2018-09-18,"38",8
"782",2018-09-18,"39",7
"783",2018-09-18,"40",12
"784",2018-09-18,"41",11
"785",2018-09-18,"42",3
"786",2018-09-18,"43",6
"787",2018-09-18,"44",4
"788",2018-09-18,"45",8
"789",2018-09-18,"46",6
"790",2018-09-18,"47",9
"791",2018-09-18,"48",7
"792",2018-09-18,"49",54
"793",2018-09-18,"50",3
"794",2018-09-19,"01",70
"795",2018-09-19,"02",15
"796",2018-09-19,"03",50
"797",2018-09-19,"04",6
"798",2018-09-19,"05",17
"799",2018-09-19,"06",6
"800",2018-09-19,"07",17
"801",2018-09-19,"08",41
"802",2018-09-19,"09",11
"803",2018-09-19,"10",47
"804",2018-09-19,"11",16
"805",2018-09-19,"12",14
"806",2018-09-19,"13",25
"807",2018-09-19,"14",15
"808",2018-09-19,"15",28
"809",2018-09-19,"16",27
"810",2018-09-19,"17",12
"811",2018-09-19,"18",9
"812",2018-09-19,"19",9
"813",2018-09-19,"20",2
"814",2018-09-19,"21",8
"815",2018-09-19,"22",13
"816",2018-09-19,"23",26
"817",2018-09-19,"24",13
"818",2018-09-19,"25",11
"819",2018-09-19,"26",8
"820",2018-09-19,"27",88
"821",2018-09-19,"28",17
"822",2018-09-19,"29",4
"823",2018-09-19,"30",7
"824",2018-09-19,"31",7
"825",2018-09-19,"32",6
"826",2018-09-19,"33",35
"827",2018-09-19,"34",3
"828",2018-09-19,"35",10
"829",2018-09-19,"36",1
"830",2018-09-19,"37",44
"831",2018-09-19,"38",4
"832",2018-09-19,"39",11
"833",2018-09-19,"40",19
"834",2018-09-19,"41",11
"835",2018-09-19,"42",5
"836",2018-09-19,"43",8
"837",2018-09-19,"44",5
"838",2018-09-19,"45",6
"839",2018-09-19,"46",6
"840",2018-09-19,"47",10
"841",2018-09-19,"48",8
"842",2018-09-19,"49",29
"843",2018-09-19,"50",8
"844",2018-09-20,"01",42
"845",2018-09-20,"02",16
"846",2018-09-20,"03",26
"847",2018-09-20,"04",5
"848",2018-09-20,"05",11
"849",2018-09-20,"06",8
"850",2018-09-20,"07",29
"851",2018-09-20,"08",32
"852",2018-09-20,"09",18
"853",2018-09-20,"10",31
"854",2018-09-20,"11",12
"855",2018-09-20,"12",8
"856",2018-09-20,"13",10
"857",2018-09-20,"14",15
"858",2018-09-20,"15",20
"859",2018-09-20,"16",18
"860",2018-09-20,"17",8
"861",2018-09-20,"18",8
"862",2018-09-20,"19",15
"863",2018-09-20,"20",1
"864",2018-09-20,"21",13
"865",2018-09-20,"22",13
"866",2018-09-20,"23",14
"867",2018-09-20,"24",29
"868",2018-09-20,"25",13
"869",2018-09-20,"26",3
"870",2018-09-20,"27",31
"871",2018-09-20,"28",23
"872",2018-09-20,"29",4
"873",2018-09-20,"30",8
"874",2018-09-20,"31",10
"875",2018-09-20,"32",2
"876",2018-09-20,"33",58
"877",2018-09-20,"34",9
"878",2018-09-20,"35",10
"879",2018-09-20,"36",10
"880",2018-09-20,"37",34
"881",2018-09-20,"38",10
"882",2018-09-20,"39",18
"883",2018-09-20,"40",8
"884",2018-09-20,"41",6
"885",2018-09-20,"42",5
"886",2018-09-20,"43",7
"887",2018-09-20,"44",9
"888",2018-09-20,"45",7
"889",2018-09-20,"46",9
"890",2018-09-20,"47",11
"891",2018-09-20,"48",10
"892",2018-09-20,"49",31
"893",2018-09-20,"50",12
"894",2018-09-21,"01",80
"895",2018-09-21,"02",19
"896",2018-09-21,"03",33
"897",2018-09-21,"04",6
"898",2018-09-21,"05",7
"899",2018-09-21,"06",13
"900",2018-09-21,"07",11
"901",2018-09-21,"08",24
"902",2018-09-21,"09",15
"903",2018-09-21,"10",25
"904",2018-09-21,"11",10
"905",2018-09-21,"12",10
"906",2018-09-21,"13",13
"907",2018-09-21,"14",13
"908",2018-09-21,"15",26
"909",2018-09-21,"16",28
"910",2018-09-21,"17",12
"911",2018-09-21,"18",12
"912",2018-09-21,"19",15
"913",2018-09-21,"20",6
"914",2018-09-21,"21",6
"915",2018-09-21,"22",12
"916",2018-09-21,"23",14
"917",2018-09-21,"24",10
"918",2018-09-21,"25",14
"919",2018-09-21,"26",8
"920",2018-09-21,"27",21
"921",2018-09-21,"28",19
"922",2018-09-21,"29",5
"923",2018-09-21,"30",8
"924",2018-09-21,"31",3
"925",2018-09-21,"32",6
"926",2018-09-21,"33",27
"927",2018-09-21,"34",4
"928",2018-09-21,"35",9
